avg score	scores	id	question	answer	response
b	['b', 'b', 'd', 'b', 'd']	13	starting from what age ?	three	three age from three age	[('b', 'AZ4IFIU17NQ10', 423), ('b', 'A3BAOQ3YJGTXM6', 91), ('d', 'A23HZ18KTCK2DA', 649), ('b', 'A1PF01FF85HUY4', 42), ('d', 'A9KV8Q3VJY3Q5', 55)]
b	['b', 'b', 'b', 'b', 'e']	12	how many men were coming for them ?	50 .	50 .	[('b', 'A23HZ18KTCK2DA', 2006), ('b', 'AZ4IFIU17NQ10', 197), ('b', 'A1PF01FF85HUY4', 51), ('b', 'A3BAOQ3YJGTXM6', 51), ('e', 'A9KV8Q3VJY3Q5', 55)]
b	['b', 'b', 'b', 'b', 'b']	49	what color fish ?	red .	red .	[('b', 'A250TNE6XDKH4N', 355), ('b', 'A23HZ18KTCK2DA', 639), ('b', 'A3BAOQ3YJGTXM6', 206), ('b', 'A1PF01FF85HUY4', 63), ('b', 'AOMFEAWQHU3D8', 1687)]
b	['b', 'b', 'd', 'b', 'd']	40	what did she do then ?	scream	scream , she did then	[('b', 'A3BAOQ3YJGTXM6', 58), ('b', 'A2WP04RFZ9STGJ', 86), ('d', 'A23HZ18KTCK2DA', 670), ('b', 'AZ4IFIU17NQ10', 786), ('d', 'A250TNE6XDKH4N', 256)]
b	['b', 'b', 'b', 'e', 'b']	21	meyer grew up where ?	universal parks & resorts .	universal parks & resorts . .	[('b', 'A23HZ18KTCK2DA', 675), ('b', 'AZIAQJWXTSFUX', 44), ('b', 'A3BAOQ3YJGTXM6', 143), ('e', 'A9KV8Q3VJY3Q5', 61), ('b', 'A1PF01FF85HUY4', 62)]
b	['b', 'd', 'e', 'd', 'b']	4	what time ?	3pm	the 3pm time time	[('b', 'A9KV8Q3VJY3Q5', 48), ('d', 'A3BAOQ3YJGTXM6', 123), ('e', 'A23HZ18KTCK2DA', 1998), ('d', 'A31CNXHGR49DJR', 98), ('b', 'AZ4IFIU17NQ10', 164)]
b	['b', 'b', 'd', 'e', 'b']	73	what would be another example ?	cotton	would be another example of cotton	[('b', 'A3BAOQ3YJGTXM6', 556), ('b', 'A1UBP7QDOJJPUO', 35), ('d', 'A9KV8Q3VJY3Q5', 67), ('e', 'A23HZ18KTCK2DA', 650), ('b', 'A250TNE6XDKH4N', 186)]
b	['b', 'b', 'd', 'e', 'e']	64	what kingdom was this area in ?	the kingdom of elmet	it was in the kingdom of elmet	[('b', 'A3BAOQ3YJGTXM6', 556), ('b', 'A1UBP7QDOJJPUO', 35), ('d', 'A9KV8Q3VJY3Q5', 67), ('e', 'A23HZ18KTCK2DA', 650), ('e', 'A250TNE6XDKH4N', 186)]
d	['d', 'e', 'd', 'e', 'd']	85	how old is the brave lady ?	30	it is about 30	[('d', 'ASN25PIODXIPJ', 446), ('e', 'A23HZ18KTCK2DA', 1979), ('d', 'AOMFEAWQHU3D8', 62), ('e', 'A3BAOQ3YJGTXM6', 432), ('d', 'AZIAQJWXTSFUX', 60)]
d	['e', 'd', 'd', 'e', 'd']	60	what 'd they use ?	a melon	they use a melon	[('e', 'A23HZ18KTCK2DA', 636), ('d', 'A1UBP7QDOJJPUO', 37), ('d', 'A9KV8Q3VJY3Q5', 62), ('e', 'A3BAOQ3YJGTXM6', 32), ('d', 'A250TNE6XDKH4N', 365)]
d	['d', 'b', 'd', 'd', 'b']	17	to what ?	kittens	to kittens , to kittens to what	[('d', 'A9KV8Q3VJY3Q5', 66), ('b', 'A250TNE6XDKH4N', 544), ('d', 'AZIAQJWXTSFUX', 98), ('d', 'A23HZ18KTCK2DA', 1994), ('b', 'A3BAOQ3YJGTXM6', 105)]
d	['d', 'd', 'd', 'd', 'd']	80	what was the sun doing ?	rising	the sun was doing rising	[('d', 'A23HZ18KTCK2DA', 680), ('d', 'A250TNE6XDKH4N', 636), ('d', 'AOMFEAWQHU3D8', 42), ('d', 'A1PF01FF85HUY4', 52), ('d', 'A3BAOQ3YJGTXM6', 810)]
d	['d', 'd', 'd', 'd', 'd']	22	why did dick want to lower it ?	he is not so tall	he wanted he is not so tall	[('d', 'A250TNE6XDKH4N', 355), ('d', 'A23HZ18KTCK2DA', 639), ('d', 'A3BAOQ3YJGTXM6', 206), ('d', 'A1PF01FF85HUY4', 63), ('d', 'AOMFEAWQHU3D8', 1687)]
d	['d', 'd', 'e', 'a', 'e']	46	who loves singing ?	jenny .	jenny . loves singing	[('d', 'A209ROKVKHDRM7', 244), ('d', 'A1UBP7QDOJJPUO', 61), ('e', 'A23HZ18KTCK2DA', 666), ('a', 'A9KV8Q3VJY3Q5', 54), ('e', 'A3BAOQ3YJGTXM6', 441)]
d	['a', 'd', 'e', 'd', 'e']	71	and his face is now what ?	graver	graver and his face is now	[('a', 'A209ROKVKHDRM7', 244), ('d', 'A1UBP7QDOJJPUO', 61), ('e', 'A23HZ18KTCK2DA', 666), ('d', 'A9KV8Q3VJY3Q5', 54), ('e', 'A3BAOQ3YJGTXM6', 441)]
d	['e', 'c', 'b', 'd', 'd']	98	how many activities is there to do there ?	three	there is three	[('e', 'A23HZ18KTCK2DA', 2484), ('c', 'A1UBP7QDOJJPUO', 34), ('b', 'A9KV8Q3VJY3Q5', 58), ('d', 'A3BAOQ3YJGTXM6', 192), ('d', 'A250TNE6XDKH4N', 275)]
d	['d', 'b', 'b', 'c', 'd']	99	why only four days ?	a farmer died	a farmer died , a farmer died	[('d', 'AOMFEAWQHU3D8', 45), ('b', 'A3BAOQ3YJGTXM6', 43), ('b', 'A1PF01FF85HUY4', 88), ('c', 'A9KV8Q3VJY3Q5', 59), ('d', 'A23HZ18KTCK2DA', 2053)]
d	['d', 'e', 'd', 'b', 'e']	54	what did he have to do 12 months after becoming unemployed ?	moving in with his mother	he had to do moving in with his mother	[('d', 'AOMFEAWQHU3D8', 45), ('e', 'A3BAOQ3YJGTXM6', 43), ('d', 'A1PF01FF85HUY4', 88), ('b', 'A9KV8Q3VJY3Q5', 59), ('e', 'A23HZ18KTCK2DA', 2053)]
d	['d', 'e', 'd', 'e', 'd']	72	where had he missed seeing smith ?	at the news	he had missed smith in at the news	[('d', 'A3BAOQ3YJGTXM6', 35), ('e', 'A23HZ18KTCK2DA', 2055), ('d', 'A250TNE6XDKH4N', 1069), ('e', 'AZIAQJWXTSFUX', 60), ('d', 'A9KV8Q3VJY3Q5', 67)]
d	['e', 'd', 'e', 'd', 'd']	66	what did ellen do when she grew up ?	she became queen	she did she became queen	[('e', 'A23HZ18KTCK2DA', 675), ('d', 'AZIAQJWXTSFUX', 44), ('e', 'A3BAOQ3YJGTXM6', 143), ('d', 'A9KV8Q3VJY3Q5', 61), ('d', 'A1PF01FF85HUY4', 62)]
d	['e', 'd', 'b', 'd', 'b']	81	how many students ar named ?	four	four students ar named	[('e', 'A23HZ18KTCK2DA', 675), ('d', 'AZIAQJWXTSFUX', 44), ('b', 'A3BAOQ3YJGTXM6', 143), ('d', 'A9KV8Q3VJY3Q5', 61), ('b', 'A1PF01FF85HUY4', 62)]
d	['d', 'e', 'd', 'e', 'd']	50	when should he supposed to have left ?	an hour ago	he should supposed to have left an hour ago	[('d', 'A250TNE6XDKH4N', 557), ('e', 'A3BAOQ3YJGTXM6', 160), ('d', 'AZIAQJWXTSFUX', 58), ('e', 'A23HZ18KTCK2DA', 643), ('d', 'AOMFEAWQHU3D8', 50)]
d	['b', 'd', 'd', 'd', 'd']	61	how did dave leave ?	he left on an ice-boat	he left he left on an ice-boat	[('b', 'A250TNE6XDKH4N', 557), ('d', 'A3BAOQ3YJGTXM6', 160), ('d', 'AZIAQJWXTSFUX', 58), ('d', 'A23HZ18KTCK2DA', 643), ('d', 'AOMFEAWQHU3D8', 50)]
d	['d', 'd', 'd', 'd', 'b']	18	what was their interaction ?	they shook hands	it was they shook hands	[('d', 'A3BAOQ3YJGTXM6', 64), ('d', 'A23HZ18KTCK2DA', 673), ('d', 'A9KV8Q3VJY3Q5', 59), ('d', 'A1BA1HVF140OC7', 222), ('b', 'A2WP04RFZ9STGJ', 148)]
d	['a', 'd', 'd', 'c', 'b']	68	who says it 's getting cold ?	dick	the dick says	[('a', 'A2WP04RFZ9STGJ', 83), ('d', 'A23HZ18KTCK2DA', 2049), ('d', 'A250TNE6XDKH4N', 217), ('c', 'A1UBP7QDOJJPUO', 40), ('b', 'A3BAOQ3YJGTXM6', 43)]
d	['d', 'd', 'd', 'e', 'd']	27	which city is first ?	bridgeport	the bridgeport is first	[('d', 'A1UBP7QDOJJPUO', 41), ('d', 'A23HZ18KTCK2DA', 664), ('d', 'AZIAQJWXTSFUX', 90), ('e', 'A3BAOQ3YJGTXM6', 33), ('d', 'A9KV8Q3VJY3Q5', 72)]
e	['e', 'e', 'b', 'd', 'e']	44	what kind of society did mark see these classes in ?	modern capitalist society	they saw these classes in modern capitalist society	[('e', 'AZIAQJWXTSFUX', 116), ('e', 'A23HZ18KTCK2DA', 2020), ('b', 'A9KV8Q3VJY3Q5', 61), ('d', 'A250TNE6XDKH4N', 476), ('e', 'A3BAOQ3YJGTXM6', 30)]
e	['d', 'e', 'b', 'e', 'e']	95	what is another part he supplies ?	break-pads	it is break-pads	[('d', 'AZIAQJWXTSFUX', 116), ('e', 'A23HZ18KTCK2DA', 2020), ('b', 'A9KV8Q3VJY3Q5', 61), ('e', 'A250TNE6XDKH4N', 476), ('e', 'A3BAOQ3YJGTXM6', 30)]
e	['e', 'e', 'b', 'e', 'e']	47	what were they ?	puppies and kitties	they were puppies and kitties	[('e', 'AZIAQJWXTSFUX', 116), ('e', 'A23HZ18KTCK2DA', 2020), ('b', 'A9KV8Q3VJY3Q5', 61), ('e', 'A250TNE6XDKH4N', 476), ('e', 'A3BAOQ3YJGTXM6', 30)]
e	['e', 'e', 'b', 'd', 'e']	10	who does she mention in her reply ?	jimmy	she talks to jimmy	[('e', 'AZIAQJWXTSFUX', 116), ('e', 'A23HZ18KTCK2DA', 2020), ('b', 'A9KV8Q3VJY3Q5', 61), ('d', 'A250TNE6XDKH4N', 476), ('e', 'A3BAOQ3YJGTXM6', 30)]
e	['c', 'e', 'd', 'e', 'd']	36	what revolt did he lead after that ?	the autumn harvest uprising	he led after the autumn harvest uprising	[('c', 'ASN25PIODXIPJ', 446), ('e', 'A23HZ18KTCK2DA', 1979), ('d', 'AOMFEAWQHU3D8', 62), ('e', 'A3BAOQ3YJGTXM6', 432), ('d', 'AZIAQJWXTSFUX', 60)]
e	['d', 'e', 'd', 'e', 'e']	15	what building was struck ?	hamas naval building	a hamas naval building was struck	[('d', 'ASN25PIODXIPJ', 446), ('e', 'A23HZ18KTCK2DA', 1979), ('d', 'AOMFEAWQHU3D8', 62), ('e', 'A3BAOQ3YJGTXM6', 432), ('e', 'AZIAQJWXTSFUX', 60)]
e	['e', 'e', 'e', 'e', 'b']	9	who asks him about it ?	sam	sam asks him	[('e', 'AZ4IFIU17NQ10', 423), ('e', 'A3BAOQ3YJGTXM6', 91), ('e', 'A23HZ18KTCK2DA', 649), ('e', 'A1PF01FF85HUY4', 42), ('b', 'A9KV8Q3VJY3Q5', 55)]
e	['e', 'e', 'e', 'e', 'b']	42	what are they ?	an international news organization	they are an international news organization	[('e', 'AZ4IFIU17NQ10', 423), ('e', 'A3BAOQ3YJGTXM6', 91), ('e', 'A23HZ18KTCK2DA', 649), ('e', 'A1PF01FF85HUY4', 42), ('b', 'A9KV8Q3VJY3Q5', 55)]
e	['e', 'd', 'd', 'e', 'c']	82	who spoke first to the messenger ?	dick	the dick spoke first	[('e', 'A23HZ18KTCK2DA', 636), ('d', 'A1UBP7QDOJJPUO', 37), ('d', 'A9KV8Q3VJY3Q5', 62), ('e', 'A3BAOQ3YJGTXM6', 32), ('c', 'A250TNE6XDKH4N', 365)]
