avg score	scores	id	question	answer	response
a	['c', 'a', 'a', 'b', 'a']	25	when did the overthrow occur ?	1917,	during world war i .	[('c', 'AZIAQJWXTSFUX', 116), ('a', 'A23HZ18KTCK2DA', 2020), ('a', 'A9KV8Q3VJY3Q5', 61), ('b', 'A250TNE6XDKH4N', 476), ('a', 'A3BAOQ3YJGTXM6', 30)]
a	['a', 'a', 'e', 'b', 'a']	47	what were they ?	puppies and kitties	puppies	[('a', 'AZIAQJWXTSFUX', 116), ('a', 'A23HZ18KTCK2DA', 2020), ('e', 'A9KV8Q3VJY3Q5', 61), ('b', 'A250TNE6XDKH4N', 476), ('a', 'A3BAOQ3YJGTXM6', 30)]
a	['a', 'a', 'c', 'a', 'c']	91	what held her attention on the meal ?	the toughness of the beefsteaks	beefsteaks , and the numbness of my hands	[('a', 'ASN25PIODXIPJ', 446), ('a', 'A23HZ18KTCK2DA', 1979), ('c', 'AOMFEAWQHU3D8', 62), ('a', 'A3BAOQ3YJGTXM6', 432), ('c', 'AZIAQJWXTSFUX', 60)]
a	['a', 'd', 'a', 'a', 'b']	50	when should he supposed to have left ?	an hour ago	in a manner	[('a', 'A23HZ18KTCK2DA', 636), ('d', 'A1UBP7QDOJJPUO', 37), ('a', 'A9KV8Q3VJY3Q5', 62), ('a', 'A3BAOQ3YJGTXM6', 32), ('b', 'A250TNE6XDKH4N', 365)]
a	['e', 'a', 'a', 'b', 'b']	70	who is the author ?	james	james brown	[('e', 'A9KV8Q3VJY3Q5', 66), ('a', 'A250TNE6XDKH4N', 544), ('a', 'AZIAQJWXTSFUX', 98), ('b', 'A23HZ18KTCK2DA', 1994), ('b', 'A3BAOQ3YJGTXM6', 105)]
a	['a', 'd', 'a', 'a', 'a']	21	meyer grew up where ?	universal parks & resorts .	unknown	[('a', 'A209ROKVKHDRM7', 244), ('d', 'A1UBP7QDOJJPUO', 61), ('a', 'A23HZ18KTCK2DA', 666), ('a', 'A9KV8Q3VJY3Q5', 54), ('a', 'A3BAOQ3YJGTXM6', 441)]
a	['a', 'c', 'a', 'b', 'a']	19	who did they meet ?	editing for the front page	tom seaton	[('a', 'A23HZ18KTCK2DA', 2484), ('c', 'A1UBP7QDOJJPUO', 34), ('a', 'A9KV8Q3VJY3Q5', 58), ('b', 'A3BAOQ3YJGTXM6', 192), ('a', 'A250TNE6XDKH4N', 275)]
a	['a', 'a', 'a', 'c', 'b']	29	what 'd they do so they were allowed to go ?	their chores	cleaned their rooms	[('a', 'A3BAOQ3YJGTXM6', 58), ('a', 'A2WP04RFZ9STGJ', 86), ('a', 'A23HZ18KTCK2DA', 670), ('c', 'AZ4IFIU17NQ10', 786), ('b', 'A250TNE6XDKH4N', 256)]
a	['a', 'a', 'a', 'a', 'a']	74	if i were irish in the 1800s and going to america , what port would i likely leave from ?	liverpool	united states	[('a', 'A3BAOQ3YJGTXM6', 58), ('a', 'A2WP04RFZ9STGJ', 86), ('a', 'A23HZ18KTCK2DA', 670), ('a', 'AZ4IFIU17NQ10', 786), ('a', 'A250TNE6XDKH4N', 256)]
a	['a', 'a', 'b', 'a', 'a']	72	where had he missed seeing smith ?	at the news	office	[('a', 'A3BAOQ3YJGTXM6', 35), ('a', 'A23HZ18KTCK2DA', 2055), ('b', 'A250TNE6XDKH4N', 1069), ('a', 'AZIAQJWXTSFUX', 60), ('a', 'A9KV8Q3VJY3Q5', 67)]
