avg score	scores	id	question	answer	response
e	['d', 'b', 'e', 'e', 'd']	28	why did he make the trip ?	to deliver the diary .	to deliver the diary of his ancestor to the library company	[('d', 'A3T9WZOUQGE2UW', 102), ('b', 'A2P887RDKZ27ZF', 416), ('e', 'A31CNXHGR49DJR', 192), ('e', 'A399GYOD60WD7M', 371), ('d', 'A3O9WZNVQSQC1S', 54)]
e	['e', 'b', 'e', 'e', 'b']	31	how does it make him feel ?	surprised	surprised and a little hurt	[('e', 'A31CNXHGR49DJR', 73), ('b', 'A2P887RDKZ27ZF', 640), ('e', 'A3O9WZNVQSQC1S', 42), ('e', 'A31ZLT6OHU6CRY', 342), ('b', 'A10I4OKFE6CQZ2', 226)]
e	['b', 'e', 'b', 'e', 'e']	92	when did he record the message ?	shortly before he was killed	shortly before he was killed	[('b', 'A31CNXHGR49DJR', 146), ('e', 'A2P887RDKZ27ZF', 1004), ('b', 'A3T9WZOUQGE2UW', 173), ('e', 'A31ZLT6OHU6CRY', 738), ('e', 'A3O9WZNVQSQC1S', 65)]
d	['d', 'e', 'd', 'd', 'e']	16	what did they do ?	treasonable secret covenant	made against him a treasonable secret covenant	[('d', 'A2P887RDKZ27ZF', 1750), ('e', 'A3O9WZNVQSQC1S', 51), ('d', 'A3T9WZOUQGE2UW', 279), ('d', 'A31ZLT6OHU6CRY', 387), ('e', 'A31CNXHGR49DJR', 530)]
d	['a', 'b', 'd', 'c', 'e']	91	what held her attention on the meal ?	the toughness of the beefsteaks	beefsteaks , and the numbness of my hands	[('a', 'A3T9WZOUQGE2UW', 102), ('b', 'A2P887RDKZ27ZF', 416), ('d', 'A31CNXHGR49DJR', 192), ('c', 'A399GYOD60WD7M', 371), ('e', 'A3O9WZNVQSQC1S', 54)]
c	['a', 'c', 'c', 'a', 'c']	29	what 'd they do so they were allowed to go ?	their chores	cleaned their rooms	[('a', 'A3T9WZOUQGE2UW', 197), ('c', 'A1OKMU27HBN9T3', 119), ('c', 'A31CNXHGR49DJR', 106), ('a', 'A2P887RDKZ27ZF', 1687), ('c', 'A3O9WZNVQSQC1S', 41)]
c	['a', 'c', 'a', 'b', 'c']	48	how long are area codes ?	from two to 5 digits	five digits long	[('a', 'A31CNXHGR49DJR', 207), ('c', 'A3IX3XVGPJH2I7', 1635), ('a', 'A3T9WZOUQGE2UW', 151), ('b', 'A2P887RDKZ27ZF', 1825), ('c', 'A3O9WZNVQSQC1S', 44)]
c	['c', 'c', 'a', 'c', 'c']	54	what did he have to do 12 months after becoming unemployed ?	moving in with his mother	selling everything he owned on craigslist	[('c', 'A2P887RDKZ27ZF', 1750), ('c', 'A3O9WZNVQSQC1S', 51), ('a', 'A3T9WZOUQGE2UW', 279), ('c', 'A31ZLT6OHU6CRY', 387), ('c', 'A31CNXHGR49DJR', 530)]
c	['c', 'c', 'c', 'c', 'c']	61	how did dave leave ?	he left on an ice-boat	he trimmed the sail of the ice-boat	[('c', 'A3O9WZNVQSQC1S', 52), ('c', 'A399GYOD60WD7M', 370), ('c', 'A34DYM8J0X5VK', 166), ('c', 'A3T9WZOUQGE2UW', 101), ('c', 'A2P887RDKZ27ZF', 569)]
c	['c', 'c', 'c', 'c', 'c']	99	why only four days ?	a farmer died	it 'll be different from the seaside	[('c', 'A3T9WZOUQGE2UW', 91), ('c', 'A2P887RDKZ27ZF', 220), ('c', 'A1OKMU27HBN9T3', 169), ('c', 'A3O9WZNVQSQC1S', 50), ('c', 'A399GYOD60WD7M', 277)]
b	['b', 'e', 'b', 'b', 'b']	1	what is its population ?	476,015	476,015	[('b', 'A399GYOD60WD7M', 213), ('e', 'A3O9WZNVQSQC1S', 43), ('b', 'A3T9WZOUQGE2UW', 91), ('b', 'A10I4OKFE6CQZ2', 71), ('b', 'A2P887RDKZ27ZF', 97)]
b	['b', 'b', 'b', 'b', 'e']	2	when will giordano go to court ?	monday	monday	[('b', 'A3T9WZOUQGE2UW', 197), ('b', 'A1OKMU27HBN9T3', 119), ('b', 'A31CNXHGR49DJR', 106), ('b', 'A2P887RDKZ27ZF', 1687), ('e', 'A3O9WZNVQSQC1S', 41)]
