avg score	scores	id	question	answer	response
e	['e', 'e', 'e', 'e', 'e']	1	what is its population ?	476,015	its population is 476,015	[('e', 'A2P887RDKZ27ZF', 1991), ('e', 'A399GYOD60WD7M', 672), ('e', 'A31CNXHGR49DJR', 86), ('e', 'A3O9WZNVQSQC1S', 45), ('e', 'A3T9WZOUQGE2UW', 192)]
e	['e', 'd', 'e', 'e', 'e']	2	when will giordano go to court ?	monday	giordano will go to court monday	[('e', 'A34DYM8J0X5VK', 100), ('d', 'A2P887RDKZ27ZF', 784), ('e', 'A3T9WZOUQGE2UW', 264), ('e', 'A3O9WZNVQSQC1S', 45), ('e', 'A31CNXHGR49DJR', 84)]
e	['e', 'e', 'd', 'e', 'd']	3	how did he feel ?	he was interested	he felt he was interested	[('e', 'A3O9WZNVQSQC1S', 52), ('e', 'A399GYOD60WD7M', 370), ('d', 'A34DYM8J0X5VK', 166), ('e', 'A3T9WZOUQGE2UW', 101), ('d', 'A2P887RDKZ27ZF', 569)]
e	['e', 'e', 'e', 'e', 'e']	5	who was it ?	a little girl	it was a little girl	[('e', 'A399GYOD60WD7M', 213), ('e', 'A3O9WZNVQSQC1S', 43), ('e', 'A3T9WZOUQGE2UW', 91), ('e', 'A10I4OKFE6CQZ2', 71), ('e', 'A2P887RDKZ27ZF', 97)]
e	['e', 'e', 'e', 'e', 'e']	6	what did archie receive after his arrival at camp ?	orders	archie received orders	[('e', 'A31CNXHGR49DJR', 146), ('e', 'A2P887RDKZ27ZF', 1004), ('e', 'A3T9WZOUQGE2UW', 173), ('e', 'A31ZLT6OHU6CRY', 738), ('e', 'A3O9WZNVQSQC1S', 65)]
e	['e', 'e', 'e', 'e', 'e']	7	who got the next item for him ?	the landlady	the landlady got the next item	[('e', 'A31ZLT6OHU6CRY', 762), ('e', 'A3T9WZOUQGE2UW', 112), ('e', 'A2P887RDKZ27ZF', 1188), ('e', 'A3O9WZNVQSQC1S', 47), ('e', 'A31CNXHGR49DJR', 91)]
e	['e', 'e', 'e', 'd', 'e']	8	what battle was fought in 675 ?	the battle of bedwyn	the battle of bedwyn was fought	[('e', 'A3T9WZOUQGE2UW', 190), ('e', 'A31CNXHGR49DJR', 119), ('e', 'A31ZLT6OHU6CRY', 832), ('d', 'A2P887RDKZ27ZF', 953), ('e', 'A3O9WZNVQSQC1S', 48)]
e	['e', 'e', 'e', 'e', 'e']	9	who asks him about it ?	sam	sam asks him	[('e', 'A3T9WZOUQGE2UW', 155), ('e', 'A2P887RDKZ27ZF', 1456), ('e', 'A3O9WZNVQSQC1S', 86), ('e', 'A2RM4OW2ZNSPL', 512), ('e', 'A31CNXHGR49DJR', 276)]
e	['e', 'e', 'e', 'e', 'e']	10	who does she mention in her reply ?	jimmy	she mentions jimmy	[('e', 'A3O9WZNVQSQC1S', 131), ('e', 'A1BFLMCFOAYEVI', 234), ('e', 'A34DYM8J0X5VK', 88), ('e', 'A31CNXHGR49DJR', 696), ('e', 'A2P887RDKZ27ZF', 1526)]
e	['e', 'd', 'e', 'e', 'd']	11	what connect childhood and adulthood ?	adolescence	adolescence connect childhood and adulthood	[('e', 'A399GYOD60WD7M', 309), ('d', 'A3T9WZOUQGE2UW', 133), ('e', 'A2P887RDKZ27ZF', 1394), ('e', 'A34DYM8J0X5VK', 98), ('d', 'A3O9WZNVQSQC1S', 42)]
e	['e', 'e', 'd', 'e', 'd']	12	how many men were coming for them ?	50 .	50. were coming for them	[('e', 'A3O9WZNVQSQC1S', 52), ('e', 'A399GYOD60WD7M', 370), ('d', 'A34DYM8J0X5VK', 166), ('e', 'A3T9WZOUQGE2UW', 101), ('d', 'A2P887RDKZ27ZF', 569)]
e	['e', 'e', 'e', 'e', 'e']	14	who came in with fred ?	the miners	the miners came in	[('e', 'A3T9WZOUQGE2UW', 102), ('e', 'A2P887RDKZ27ZF', 416), ('e', 'A31CNXHGR49DJR', 192), ('e', 'A399GYOD60WD7M', 371), ('e', 'A3O9WZNVQSQC1S', 54)]
e	['e', 'e', 'e', 'e', 'e']	15	what building was struck ?	hamas naval building	hamas naval building was struck	[('e', 'A3T9WZOUQGE2UW', 190), ('e', 'A31CNXHGR49DJR', 119), ('e', 'A31ZLT6OHU6CRY', 832), ('e', 'A2P887RDKZ27ZF', 953), ('e', 'A3O9WZNVQSQC1S', 48)]
e	['e', 'e', 'e', 'e', 'd']	16	what did they do ?	treasonable secret covenant	they did treasonable secret covenant	[('e', 'A3T9WZOUQGE2UW', 190), ('e', 'A31CNXHGR49DJR', 119), ('e', 'A31ZLT6OHU6CRY', 832), ('e', 'A2P887RDKZ27ZF', 953), ('d', 'A3O9WZNVQSQC1S', 48)]
e	['d', 'e', 'e', 'e', 'd']	18	what was their interaction ?	they shook hands	their interaction was they shook hands	[('d', 'A3O9WZNVQSQC1S', 40), ('e', 'A3T9WZOUQGE2UW', 148), ('e', 'A31CNXHGR49DJR', 311), ('e', 'A31ZLT6OHU6CRY', 474), ('d', 'A2P887RDKZ27ZF', 493)]
e	['e', 'e', 'e', 'e', 'e']	19	who did they meet ?	editing for the front page	they met editing for the front page	[('e', 'A3O9WZNVQSQC1S', 46), ('e', 'A2P887RDKZ27ZF', 230), ('e', 'A34DYM8J0X5VK', 267), ('e', 'A3T9WZOUQGE2UW', 109), ('e', 'A399GYOD60WD7M', 231)]
e	['e', 'e', 'e', 'e', 'e']	24	when did pope john paul ii visit ?	1982	he visited in 1982	[('e', 'A3T9WZOUQGE2UW', 155), ('e', 'A2P887RDKZ27ZF', 1456), ('e', 'A3O9WZNVQSQC1S', 86), ('e', 'A2RM4OW2ZNSPL', 512), ('e', 'A31CNXHGR49DJR', 276)]
e	['e', 'e', 'd', 'e', 'e']	25	when did the overthrow occur ?	1917,	it occured in 1917,	[('e', 'A3T9WZOUQGE2UW', 190), ('e', 'A31CNXHGR49DJR', 119), ('d', 'A31ZLT6OHU6CRY', 832), ('e', 'A2P887RDKZ27ZF', 953), ('e', 'A3O9WZNVQSQC1S', 48)]
e	['e', 'e', 'e', 'e', 'e']	26	what time was it ?	about five o 'clock	it was about five o 'clock	[('e', 'A2P887RDKZ27ZF', 710), ('e', 'A1OKMU27HBN9T3', 128), ('e', 'A34DYM8J0X5VK', 97), ('e', 'A3T9WZOUQGE2UW', 292), ('e', 'A3O9WZNVQSQC1S', 41)]
e	['e', 'e', 'd', 'e', 'e']	27	which city is first ?	bridgeport	bridgeport is first	[('e', 'A2P887RDKZ27ZF', 710), ('e', 'A1OKMU27HBN9T3', 128), ('d', 'A34DYM8J0X5VK', 97), ('e', 'A3T9WZOUQGE2UW', 292), ('e', 'A3O9WZNVQSQC1S', 41)]
e	['e', 'e', 'e', 'e', 'e']	28	why did he make the trip ?	to deliver the diary .	he made the trip to deliver the diary.	[('e', 'A31CNXHGR49DJR', 146), ('e', 'A2P887RDKZ27ZF', 1004), ('e', 'A3T9WZOUQGE2UW', 173), ('e', 'A31ZLT6OHU6CRY', 738), ('e', 'A3O9WZNVQSQC1S', 65)]
e	['e', 'e', 'e', 'e', 'e']	31	how does it make him feel ?	surprised	it makes him feel surprised	[('e', 'A2P887RDKZ27ZF', 1357), ('e', 'A399GYOD60WD7M', 119), ('e', 'A3T9WZOUQGE2UW', 65), ('e', 'A1OKMU27HBN9T3', 361), ('e', 'A3O9WZNVQSQC1S', 40)]
e	['e', 'e', 'e', 'e', 'e']	32	what 's a danish name for it ?	slesvig-holsten	it is slesvig-holsten	[('e', 'A34DYM8J0X5VK', 114), ('e', 'A2P887RDKZ27ZF', 2055), ('e', 'A3O9WZNVQSQC1S', 45), ('e', 'A3T9WZOUQGE2UW', 82), ('e', 'A31CNXHGR49DJR', 168)]
e	['e', 'e', 'e', 'e', 'e']	33	which grip did he develop ?	""" the overlapping grip """	"he developed "" the overlapping grip """	[('e', 'A3T9WZOUQGE2UW', 67), ('e', 'A399GYOD60WD7M', 236), ('e', 'A3O9WZNVQSQC1S', 44), ('e', 'A31CNXHGR49DJR', 188), ('e', 'A2P887RDKZ27ZF', 1275)]
e	['d', 'd', 'e', 'e', 'e']	34	kids can acquire new knowledge from making what ?	money	money can acquire new knowledge	[('d', 'A3T9WZOUQGE2UW', 190), ('d', 'A31CNXHGR49DJR', 119), ('e', 'A31ZLT6OHU6CRY', 832), ('e', 'A2P887RDKZ27ZF', 953), ('e', 'A3O9WZNVQSQC1S', 48)]
e	['e', 'e', 'e', 'e', 'e']	35	how many were there ?	675 aborigines	there were 675 aborigines	[('e', 'A3O9WZNVQSQC1S', 131), ('e', 'A1BFLMCFOAYEVI', 234), ('e', 'A34DYM8J0X5VK', 88), ('e', 'A31CNXHGR49DJR', 696), ('e', 'A2P887RDKZ27ZF', 1526)]
e	['e', 'e', 'e', 'e', 'e']	36	what revolt did he lead after that ?	the autumn harvest uprising	he led the autumn harvest uprising	[('e', 'A3T9WZOUQGE2UW', 91), ('e', 'A2P887RDKZ27ZF', 220), ('e', 'A1OKMU27HBN9T3', 169), ('e', 'A3O9WZNVQSQC1S', 50), ('e', 'A399GYOD60WD7M', 277)]
e	['e', 'e', 'e', 'e', 'd']	37	what does she feel made her a victim ?	race-conscious admission policies	she feels race-conscious admission policies made her a victim	[('e', 'A3T9WZOUQGE2UW', 135), ('e', 'A31ZLT6OHU6CRY', 272), ('e', 'A3O9WZNVQSQC1S', 52), ('e', 'A31CNXHGR49DJR', 92), ('d', 'A2P887RDKZ27ZF', 1932)]
e	['e', 'e', 'e', 'e', 'e']	38	"its clever "" who did he tell that to ?"	honors colloquium	he told honors colloquium	[('e', 'A3T9WZOUQGE2UW', 155), ('e', 'A2P887RDKZ27ZF', 1456), ('e', 'A3O9WZNVQSQC1S', 86), ('e', 'A2RM4OW2ZNSPL', 512), ('e', 'A31CNXHGR49DJR', 276)]
e	['e', 'e', 'e', 'e', 'e']	39	who gave them ?	mr. coningsby	mr. coningsby gave them	[('e', 'A31CNXHGR49DJR', 73), ('e', 'A2P887RDKZ27ZF', 640), ('e', 'A3O9WZNVQSQC1S', 42), ('e', 'A31ZLT6OHU6CRY', 342), ('e', 'A10I4OKFE6CQZ2', 226)]
e	['e', 'e', 'e', 'e', 'e']	41	who hosts it ?	liu zaishi	liu zaishi hosts it	[('e', 'A31CNXHGR49DJR', 207), ('e', 'A3IX3XVGPJH2I7', 1635), ('e', 'A3T9WZOUQGE2UW', 151), ('e', 'A2P887RDKZ27ZF', 1825), ('e', 'A3O9WZNVQSQC1S', 44)]
e	['e', 'e', 'e', 'e', 'e']	42	what are they ?	an international news organization	they are an international news organization	[('e', 'A3T9WZOUQGE2UW', 102), ('e', 'A2P887RDKZ27ZF', 416), ('e', 'A31CNXHGR49DJR', 192), ('e', 'A399GYOD60WD7M', 371), ('e', 'A3O9WZNVQSQC1S', 54)]
e	['e', 'e', 'e', 'e', 'e']	43	who 's the editor ?	mark sappenfield	it is mark sappenfield	[('e', 'A399GYOD60WD7M', 213), ('e', 'A3O9WZNVQSQC1S', 43), ('e', 'A3T9WZOUQGE2UW', 91), ('e', 'A10I4OKFE6CQZ2', 71), ('e', 'A2P887RDKZ27ZF', 97)]
